machine | field | kills in window | mirror is a kill of the same field | mirror is a kill of any field | mirror is a twin member
13 | lower:19 | 2 | 0/2 | 2/2 | 0/2
13 | lower:23 | 2 | 0/2 | 2/2 | 0/2
13 | lower:29 | 1 | 0/1 | 1/1 | 0/1
13 | lower:31 | 1 | 0/1 | 1/1 | 0/1
13 | lower1:7 | 1 | 0/1 | 1/1 | 0/1
13 | lower1:11 | 2 | 0/2 | 2/2 | 0/2
13 | lower1:13 | 3 | 0/3 | 3/3 | 0/3
13 | lower1:17 | 2 | 0/2 | 2/2 | 0/2
13 | lower1:19 | 2 | 0/2 | 2/2 | 0/2
13 | lower1:23 | 2 | 0/2 | 2/2 | 0/2
13 | lower1:29 | 1 | 0/1 | 1/1 | 0/1
13 | lower1:31 | 1 | 0/1 | 1/1 | 0/1
13 | multiples | 19 | 19/19 | 19/19 | 0/19
13 | products:2 | 18 | 6/18 | 18/18 | 0/18
13 | products:3 | 1 | 0/1 | 1/1 | 0/1
13 | squares | 4 | 0/4 | 4/4 | 0/4
17 | higher:5 | 18 | 18/18 | 18/18 | 0/18
17 | higher:7 | 10 | 10/10 | 10/10 | 0/10
17 | higher:11 | 5 | 5/5 | 5/5 | 0/5
17 | higher:13 | 3 | 3/3 | 3/3 | 0/3
17 | higher:17 | 1 | 1/1 | 1/1 | 0/1
17 | higher1:5 | 14 | 10/14 | 14/14 | 0/14
17 | higher1:7 | 9 | 8/9 | 9/9 | 0/9
17 | higher1:11 | 4 | 3/4 | 4/4 | 0/4
17 | higher1:13 | 2 | 2/2 | 2/2 | 0/2
17 | lower:5 | 2 | 0/2 | 2/2 | 0/2
17 | lower:7 | 4 | 0/4 | 4/4 | 0/4
17 | lower:11 | 4 | 0/4 | 4/4 | 0/4
17 | lower:13 | 4 | 0/4 | 4/4 | 0/4
17 | lower:17 | 5 | 0/5 | 5/5 | 0/5
17 | lower:19 | 4 | 0/4 | 4/4 | 0/4
17 | lower:23 | 3 | 0/3 | 3/3 | 0/3
17 | lower:29 | 2 | 0/2 | 2/2 | 0/2
17 | lower:31 | 2 | 0/2 | 2/2 | 0/2
